,leaid,rla_score,math_score
1857,633860,71,44.0
1860,633980,47,19.0
1863,634140,54,32.0
1864,634170,44,17.0
1867,634320,61,37.0
1868,634380,80,65.0
1869,634410,61,50.0
1870,634425,67,51.0
1871,634440,40,12.0
1872,634590,52,35.0
1873,634620,50,28.0
1874,634680,44,18.0
1875,634710,51,24.0
1878,634800,69,52.0
1880,634880,62,35.0
1882,634980,71,52.0
1887,635110,54,37.0
1888,635130,87,70.0
1890,635250,67,37.0
1891,635310,35,18.0
1892,635430,56,35.0
1895,635600,58,34.0
1896,635670,44,19.0
1897,635700,78,50.0
1910,636270,57,19.0
1913,636390,62,47.0
1917,636600,56,36.0
1921,636800,65,27.0
1925,636840,64,35.0
1928,636970,56,28.0
1929,636972,40,14.0
1931,637050,35,9.0
1934,637200,49,33.0
1942,637500,79,67.0
1943,637530,54,31.0
1955,638010,33,15.0
1968,638640,59,29.0
1973,638790,72,56.0
1975,638980,70,59.0
1981,639420,72,52.0
1983,639630,65,35.0
1989,639930,54,27.0
1991,640150,70,46.0
1995,640300,51,21.0
1998,640590,59,34.0
2002,640740,32,12.0
2004,640980,52,29.0
2007,641160,56,20.0
2008,641190,62,34.0
2011,641280,77,70.0
2013,641430,53,26.0
2015,641580,44,21.0
2021,642000,57,32.0
2024,642140,65,32.0
2034,642480,57,29.0
2035,642510,78,48.0
2047,643080,53,21.0
2053,643470,59,25.0
2054,643560,58,28.0
2055,684500,73,68.0
2066,691012,20,4.0
2077,691024,16,5.0
2104,691078,33,19.0
2111,691135,46,21.0
2120,800020,52,42.0
2124,801920,61,55.0
2125,801950,13,11.0
2136,802340,20,20.0
2141,802490,67,61.0
2144,802580,26,29.0
2154,802910,56,54.0
2155,802940,73,70.0
2158,803060,36,29.0
2167,803330,40,31.0
2168,803360,34,33.0
2171,803450,58,55.0
2174,803540,38,35.0
2183,803870,29,20.0
2186,803990,59,55.0
2189,804080,36,30.0
2194,804260,36,40.0
2197,804350,35,28.0
2199,804410,26,22.0
2203,804530,30,26.0
2212,804800,52,48.0
2229,805310,64,60.0
2231,805370,50,42.0
2232,805400,46,38.0
2236,805550,25,20.0
2244,805790,31,28.0
2245,805820,64,61.0
2255,806120,27,20.0
2256,806150,41,31.0
2267,806480,30,29.0
2281,806900,39,38.0
2290,807230,12,8.0
2294,807350,47,46.0
2299,900002,36,13.0
2339,900450,33,13.0
2340,900510,55,33.0
2346,900700,50,27.0
2348,900750,81,58.0
2358,901020,52,22.0
2359,901050,90-94,81.0
2365,901260,46,17.0
2373,901470,66,28.0
2375,901530,81,59.0
2378,901620,81,68.0
2380,901710,86,68.0
2384,901860,57,28.0
2386,901920,36,17.0
2396,902310,51,29.0
2399,902400,42,13.0
2400,902490,50-54,27.0
2401,902520,70,46.0
2405,902670,31,12.0
2406,902700,89,78.0
2409,902790,38,17.0
2412,902880,75,47.0
2413,902910,82,61.0
2419,903090,54,30.0
2446,903660,84,65.0
2450,903810,88,77.0
2457,904050,72,49.0
2459,904110,89,77.0
2461,904170,73,52.0
2462,904230,73,48.0
2465,904320,56,36.0
2468,904440,51,28.0
2474,904620,80,66.0
2478,904740,65,39.0
2479,904830,29,10.0
2482,904920,77,59.0
2483,904950,44,18.0
2486,905040,91,79.0
2489,905130,89,74.0
2497,905371,55,35.0
2524,1000080,63,38.0
2525,1000170,60,36.0
2526,1000180,56,37.0
2527,1000190,36,15.0
2528,1000200,34,18.0
2529,1000230,30,13.0
2531,1000680,42,22.0
2536,1001240,55,34.0
2537,1001280,39,15.0
2538,1001300,50,27.0
2540,1001620,50,34.0
2555,1100030,31,15.0
2600,1200002,75,61.0
2601,1200030,59,51.0
2602,1200060,53,73.0
2603,1200090,53,57.0
2605,1200150,60,51.0
2606,1200180,54,46.0
2608,1200240,53,60.0
2609,1200270,51,53.0
2610,1200300,57,55.0
2611,1200330,57,59.0
2612,1200360,46,40.0
2613,1200390,53,45.0
2614,1200420,27,34.0
2616,1200480,49,51.0
2617,1200510,48,44.0
2618,1200540,56,56.0
2620,1200600,29,20.0
2625,1200750,40,45.0
2626,1200780,40,29.0
2627,1200810,50,47.0
2628,1200840,43,45.0
2629,1200870,52,48.0
2630,1200900,50,36.0
2631,1200930,51,47.0
2632,1200960,52,54.0
2635,1201050,48,49.0
2636,1201080,51,48.0
2637,1201110,58,55.0
2638,1201140,41,41.0
2641,1201230,52,52.0
2642,1201260,46,46.0
2643,1201290,60,56.0
2644,1201320,56,68.0
2645,1201350,65,63.0
2646,1201380,63,67.0
2647,1201410,47,39.0
2648,1201440,50,47.0
2649,1201470,48,35.0
2650,1201500,55,51.0
2651,1201530,55,56.0
2652,1201560,53,45.0
2653,1201590,43,41.0
2654,1201620,39,35.0
2655,1201650,63,59.0
2656,1201680,65,67.0
2657,1201710,60,52.0
2658,1201740,75,72.0
2659,1201770,53,43.0
2660,1201800,61,48.0
2661,1201830,44,39.0
2664,1201920,49,47.0
2665,1201950,56,56.0
2666,1201980,57,71.0
2667,1202010,49,39.0
2673,1300001,34,33.0
2677,1300060,40-44,58.0
2679,1300120,34,20.0
2682,1300210,15-19,12.0
2693,1300227,56,30.0
2696,1300232,42,16.0
2704,1300240,45-49,26.0
2714,1300290,38,32.0
2715,1300330,44,32.0
2716,1300360,20-24,19.0
2717,1300390,35-39,43.0
2718,1300420,31,18.0
2719,1300440,50-54,57.0
2720,1300480,45-49,40.0
2723,1300570,52,37.0
2724,1300600,70,83.0
2725,1300630,45,42.0
2726,1300660,20-24,22.0
2727,1300690,25-29,16.0
2728,1300720,50-54,35.0
2730,1300780,54,59.0
2731,1300810,40-44,31.0
2732,1300840,50,37.0
2733,1300870,45,50.0
2734,1300900,50-54,57.0
2735,1300930,47,49.0
2737,1301020,36,22.0
2739,1301080,20-24,20.0
2740,1301110,64,50.0
2742,1301170,31,24.0
2744,1301230,29,18.0
2746,1301290,59,52.0
2747,1301350,38,30.0
2748,1301380,38,33.0
2749,1301410,59,58.0
2751,1301470,30-34,29.0
2752,1301500,52,48.0
2754,1301560,20-24,29.0
2755,1301590,40-44,23.0
2756,1301620,35,26.0
2758,1301680,73,64.0
2759,1301710,24,35.0
2760,1301740,35,30.0
2761,1301770,25-29,48.0
2763,1301830,27,17.0
2764,1301860,42,31.0
2765,1301870,15-19,12.0
2766,1301890,41,45.0
2769,1301980,53,43.0
2771,1302040,25-29,28.0
2773,1302100,60-64,62.0
2774,1302130,72,64.0
2775,1302190,47,37.0
2776,1302220,76,69.0
2777,1302250,40-44,42.0
2778,1302280,56,47.0
2779,1302310,30,32.0
2780,1302340,35-39,30.0
2782,1302400,55,40.0
2783,1302430,37,49.0
2784,1302460,20-24,18.0
2785,1302490,35-39,23.0
2786,1302520,25,16.0
2787,1302550,56,46.0
2788,1302580,50,49.0
2789,1302610,45,42.0
2791,1302670,35-39,31.0
2792,1302700,55,50.0
2795,1302820,43,24.0
2796,1302880,44,45.0
2798,1302940,53,56.0
2800,1303000,35-39,38.0
2801,1303030,70-74,68.0
2802,1303060,20-24,15.0
2805,1303150,45,29.0
2806,1303210,30-34,15.0
2808,1303270,53,46.0
2809,1303300,42,25.0
2811,1303360,35-39,32.0
2812,1303390,51,54.0
2813,1303420,45-49,39.0
2815,1303480,56,42.0
2816,1303510,47,31.0
2823,1303720,50-54,49.0
2825,1303780,55-59,35.0
2826,1303840,38,30.0
2827,1303870,40,28.0
2828,1303930,43,21.0
2829,1303960,75,70.0
2830,1303990,45-49,44.0
2831,1304020,45,31.0
2832,1304050,30-34,29.0
2834,1304110,47,36.0
2835,1304140,55-59,68.0
2836,1304170,44,29.0
2837,1304200,41,29.0
2843,1304380,25,14.0
2844,1304410,34,24.0
2845,1304440,46,39.0
2850,1304560,40-44,42.0
2852,1304620,20-24,23.0
2859,1304890,35,26.0
2860,1304950,25-29,21.0
2861,1304980,40,38.0
2862,1305040,20-24,12.0
2868,1305250,60-64,57.0
2869,1305280,49,24.0
2870,1305310,32,29.0
2871,1305340,45-49,33.0
2872,1305370,39,30.0
2873,1305390,47,44.0
2874,1305430,46,47.0
2876,1305490,30-34,21.0
2877,1305550,34,28.0
2880,1305670,50-54,56.0
2881,1305700,42,36.0
2885,1305850,30-34,24.0
2886,1500030,60,32.0
2945,1600360,62,45.0
2950,1600510,40,17.0
2953,1600600,58,28.0
2955,1600660,48,21.0
2959,1600780,64,28.0
2965,1600930,53,25.0
2982,1601530,56,37.0
2983,1601570,55,32.0
2990,1601770,53,26.0
2991,1601800,66,37.0
2993,1601860,58,29.0
3001,1602100,68,46.0
3002,1602130,60,34.0
3009,1602340,56,24.0
3019,1602640,66,39.0
3020,1602670,70,34.0
3037,1603240,61,32.0
3211,1703600,31,25.0
3218,1703870,51,45.0
3223,1704020,24,29.0
3226,1704170,54,53.0
3236,1704680,13,13.0
3237,1704710,26,21.0
3241,1704920,46,42.0
3243,1705050,67,64.0
3246,1705220,55,59.0
3254,1705640,32,27.0
3256,1705790,32,26.0
3269,1706420,18,11.0
3271,1706480,35,30.0
3273,1706540,24,20.0
3279,1706960,33,24.0
3281,1707050,22,20.0
3306,1708400,45,45.0
3310,1708550,37,33.0
3326,1709420,40,39.0
3332,1709930,25,25.0
3345,1710650,27,24.0
3358,1711250,26,13.0
3361,1711370,53,53.0
3367,1711790,17,10.0
3372,1712000,32,22.0
3386,1712570,51,56.0
3387,1712700,66,70.0
3403,1713320,4,2.0
3408,1713530,51,43.0
3412,1713710,29,28.0
3416,1713940,33,32.0
3417,1713970,64,64.0
3427,1714490,56,51.0
3435,1715030,32,29.0
3463,1716380,61,61.0
3471,1716830,46,43.0
3479,1717280,21,12.0
3481,1717340,36,35.0
3485,1717550,54,47.0
3498,1718240,30,18.0
3513,1719080,73,67.0
3519,1719320,67,63.0
3523,1719560,39,29.0
3524,1719620,61,54.0
3527,1719830,52,52.0
3543,1720610,24,20.0
3566,1721780,75,70.0
3567,1721840,48,48.0
3569,1721900,60,59.0
3573,1722110,38,23.0
3578,1722500,59,55.0
3582,1722740,26,26.0
3585,1722830,74,73.0
3592,1723070,57,59.0
3599,1723350,49,45.0
3605,1723880,59,58.0
3610,1724090,47,49.0
3616,1724480,46,39.0
3633,1725320,35,30.0
3648,1726340,43,30.0
3650,1726400,30,27.0
3662,1726880,15,8.0
3673,1727570,39,34.0
3675,1727710,67,69.0
3686,1728200,80,76.0
3690,1728530,47,44.0
3692,1728620,44,42.0
3699,1729010,70,69.0
3704,1729220,24,24.0
3706,1729280,62,54.0
3715,1729790,50,49.0
3722,1730270,44,41.0
3724,1730330,34,28.0
3726,1730450,49,54.0
3745,1731110,30,30.0
3748,1731230,21,15.0
3758,1731740,39,37.0
3775,1732580,78,80.0
3781,1732910,23,20.0
3784,1733000,30,23.0
3790,1733270,26,25.0
3794,1733420,14,9.0
3806,1734020,51,48.0
3817,1734410,17,15.0
3820,1734510,22,17.0
3829,1734990,20,17.0
3870,1737080,28,24.0
3873,1737170,59,62.0
3896,1738460,47,43.0
3904,1738940,15,13.0
3905,1738970,8,6.0
3919,1739870,20,17.0
3922,1740070,30,29.0
3932,1740440,27,27.0
3941,1740800,48,37.0
3949,1741190,41,36.0
3950,1741250,12,10.0
3957,1741690,64,66.0
3964,1742180,56,51.0
3987,1743330,40,35.0
3991,1743890,23,18.0
3992,1743960,41,34.0
4005,1800030,80,54.0
4038,1800098,53,16.0
4067,1800150,30,20.0
4091,1800270,77,48.0
4093,1800360,63,42.0
4100,1800630,76,48.0
4105,1800840,50,36.0
4108,1801020,78,65.0
4112,1801200,86,73.0
4116,1801440,73,64.0
4122,1801890,63,32.0
4130,1802400,56,18.0
4134,1802490,75,45.0
4138,1802640,48,23.0
4141,1802800,68,50.0
4142,1802830,83,63.0
4143,1802850,60,31.0
4157,1803270,47,23.0
4160,1803450,53,30.0
4164,1803630,49,24.0
4166,1803690,59,36.0
4169,1803750,68,51.0
4174,1803930,54,36.0
4175,1803940,57,29.0
4178,1804050,58,28.0
4185,1804320,37,12.0
4190,1804590,76,38.0
4192,1804710,65,33.0
4193,1804770,24,7.0
4196,1805190,63,29.0
4199,1805370,35,15.0
4200,1805400,47,25.0
4201,1805450,66,37.0
4205,1805580,58,40.0
4206,1805670,46,25.0
4211,1806030,45-49,37.0
4220,1806510,55,40.0
4221,1806570,40,17.0
4222,1806600,58,42.0
4225,1806840,46,27.0
4231,1807140,60,28.0
4233,1807260,64,49.0
4235,1807320,38,21.0
4236,1807350,87,60.0
4238,1807410,65,42.0
4243,1807650,79,47.0
4249,1807860,54,35.0
4264,1808250,82,56.0
4271,1808760,76,58.0
4272,1808820,49,31.0
4275,1808910,51,31.0
4277,1808970,78,52.0
4281,1809150,54,32.0
4285,1809370,62,24.0
4291,1809690,50,19.0
4298,1810080,53,23.0
4304,1810290,41,22.0
4309,1810440,63,35.0
4318,1810650,77,60.0
4332,1811190,71,51.0
4336,1811340,59,39.0
4347,1811970,78,55.0
4349,1812090,61,33.0
4354,1812360,40,20.0
4355,1812390,70,48.0
4356,1812420,59,37.0
4358,1812720,56,30.0
4359,1812810,36,16.0
4366,1813080,77,54.0
4395,1903540,89,91.0
4398,1903690,89,92.0
4416,1904860,86,91.0
4432,1906510,88,87.0
4433,1906540,70,75.0
4454,1907860,77,78.0
4460,1908220,61,65.0
4464,1908580,67,67.0
4470,1908970,53,55.0
4473,1909480,75,81.0
4526,1914700,76,81.0
4533,1915450,87,90.0
4547,1917220,78,84.0
4563,1918720,66,71.0
4582,1920130,74,77.0
4613,1923110,91,95.0
4636,1926400,72,71.0
4642,1926820,78,81.0
4663,1928680,82,81.0
4674,1930480,71,73.0
4675,1930510,87,87.0
4684,1930930,80,80.0
4727,2003200,39,32.0
4732,2003360,39,36.0
4788,2005460,30,23.0
4789,2005490,48,41.0
4792,2005580,12,11.0
4803,2005940,17,15.0
4815,2006390,17,10.0
4816,2006420,35,25.0
4820,2006540,39,27.0
4834,2007050,28,16.0
4849,2007620,20,19.0
4857,2007890,28,18.0
4858,2007950,11,9.0
4871,2008400,43,31.0
4872,2008430,27,20.0
4877,2008730,12,10.0
4887,2009140,38,45.0
4888,2009180,40,37.0
4912,2010140,41,38.0
4945,2011370,29,17.0
4952,2011640,41,34.0
4961,2012000,46,47.0
4969,2012260,20,15.0
4985,2012990,20,12.0
4991,2100081,46,27.0
4999,2100300,51,44.0
5005,2100510,57,55.0
5007,2100570,53,42.0
5013,2100750,44,36.0
5018,2100900,57,54.0
5022,2101020,43,32.0
5025,2101150,38,23.0
5026,2101200,47,36.0
5035,2101470,46,39.0
5046,2101860,51,45.0
5048,2101950,38,27.0
5050,2102010,42,34.0
5058,2102280,51,49.0
5063,2102490,47,44.0
5069,2102710,48,43.0
5072,2102860,48,40.0
5075,2102990,40,33.0
5077,2103030,45,37.0
5079,2103090,53,52.0
5083,2103210,46,38.0
5094,2103720,55,43.0
5097,2103810,51,43.0
5101,2103960,57,46.0
5104,2104050,50,40.0
5110,2104250,54,40.0
5113,2104410,47,42.0
5117,2104530,64,61.0
5119,2104590,45-49,32.0
5126,2104800,45,33.0
5130,2104950,55,49.0
5139,2105260,57,48.0
5140,2105320,43,34.0
5152,2105730,48,38.0
5161,2106000,49,50.0
5168,2200030,70,64.0
5173,2200039,82,88.0
5180,2200090,85,85.0
5182,2200125,85-89,88.0
5186,2200150,51,63.0
5193,2200180,70,66.0
5270,2200270,78,77.0
5297,2200300,66,57.0
5299,2200330,75,73.0
5305,2200510,79,74.0
5306,2200540,61,54.0
5309,2200630,78,74.0
5312,2200720,74,79.0
5315,2200810,72,77.0
5316,2200840,65,68.0
5317,2200870,71,73.0
5318,2200900,88,80.0
5320,2200990,74,83.0
5321,2201020,84,83.0
5323,2201080,66,57.0
5324,2201110,50-54,33.0
5325,2201140,69,66.0
5326,2201170,57,59.0
5327,2201200,73,70.0
5328,2201230,85-89,91.0
5330,2201290,76,66.0
5334,2201410,73,73.0
5335,2201440,74,79.0
5338,2201530,55,62.0
5339,2201560,71,64.0
5340,2201590,71,64.0
5341,2201620,72,76.0
5342,2201650,83,80.0
5343,2201680,66,57.0
5345,2201740,75,77.0
5347,2201800,88,82.0
5348,2201830,84,81.0
5349,2201860,77,70.0
5350,2201890,54,65.0
5472,2309930,59,37.0
5695,2500554,97,83.0
5704,2501710,GE99,96.0
5711,2501950,98,89.0
5712,2501980,94,89.0
5717,2502190,88,75.0
5720,2502310,91,73.0
5724,2502490,98,93.0
5730,2502670,94,88.0
5731,2502710,GE99,90.0
5734,2502790,82,66.0
5738,2502940,96,90.0
5740,2503030,94,85.0
5743,2503080,95,78.0
5744,2503090,79,53.0
5746,2503150,98,93.0
5748,2503270,92,80.0
5754,2503510,97,91.0
5755,2503540,65,35.0
5756,2503660,87,73.0
5761,2503870,GE99,92.0
5783,2504770,81,58.0
5785,2504830,76,51.0
5790,2504980,87,79.0
5791,2505010,98,88.0
5803,2505470,88,67.0
5804,2505480,91,69.0
5805,2505485,96,86.0
5817,2505970,87,73.0
5819,2506090,98,91.0
5823,2506270,82,49.0
5829,2506510,97,88.0
5832,2506660,74,53.0
5836,2506780,88,73.0
5838,2506840,98,97.0
5840,2506930,98,94.0
5843,2507020,82,66.0
5846,2507110,74,55.0
5848,2507170,80,73.0
5849,2507230,96,92.0
5853,2507350,98,88.0
5860,2507560,90,72.0
5864,2507740,88,71.0
5874,2508050,95,85.0
5881,2508340,97,91.0
5882,2508370,98,93.0
5883,2508430,60,44.0
5884,2508440,97,86.0
5887,2508610,97,93.0
5891,2508700,94,88.0
5899,2508910,97,90.0
5902,2508960,94,73.0
5914,2509360,85,70.0
5920,2509630,86,69.0
5922,2509720,91,69.0
5925,2509870,91,82.0
5928,2509990,96,88.0
5929,2510050,83,67.0
5941,2510615,96,82.0
5944,2510770,97,89.0
5946,2510830,93,88.0
5948,2510890,84,68.0
5954,2511020,95,77.0
5958,2511130,74,47.0
5967,2511490,94,85.0
5968,2511520,84,60.0
5977,2511880,97,92.0
5981,2512000,74,64.0
5988,2512270,98,96.0
5992,2512510,85-89,75.0
5995,2512630,88,69.0
5996,2512660,98,96.0
6001,2512840,90,72.0
6004,2512950,96,83.0
6009,2513110,GE99,96.0
6011,2513200,90,78.0
6012,2513230,81,59.0
6949,2700117,58,19.0
7148,2703180,63,46.0
7150,2703450,45,34.0
7158,2704440,55,47.0
7165,2705790,60,52.0
7168,2706090,57,50.0
7173,2707200,59,50.0
7174,2707290,54,39.0
7178,2707410,64,43.0
7184,2708100,62,59.0
7185,2708190,62,60.0
7207,2711040,57,46.0
7212,2711250,73,64.0
7213,2711370,67,57.0
7216,2711670,78,70.0
7218,2711820,38,36.0
7224,2712270,63,54.0
7235,2713170,60-64,45.0
7237,2713530,71,58.0
7250,2714220,70,62.0
7251,2714260,56,55.0
7268,2717780,72,58.0
7285,2718780,59,45.0
7296,2721240,35,26.0
7300,2721420,59,53.0
7304,2722950,63,59.0
7310,2723430,65,57.0
7316,2723850,62,49.0
7317,2723880,67,57.0
7323,2725200,59,42.0
7324,2728050,59,46.0
7339,2730060,63,61.0
7347,2731780,49,27.0
7348,2731800,55,46.0
7351,2732390,73,64.0
7352,2732430,53,43.0
7357,2732820,70-74,72.0
7359,2732880,68,56.0
7361,2733000,54,45.0
7365,2733330,58,49.0
7370,2733510,41,35.0
7371,2733540,65,50.0
7375,2733790,62,62.0
7376,2733810,75,63.0
7377,2733840,40,27.0
7381,2738190,72,58.0
7395,2741460,62,60.0
7400,2742160,71,77.0
7401,2742270,60,46.0
7403,2742360,55,56.0
7404,2742720,43,39.0
7426,2800187,12,14.0
7428,2800189,33,19.0
7440,2800630,55,69.0
7451,2801090,58,48.0
7464,2801320,50,64.0
7473,2801560,45,43.0
7475,2801620,20,2.0
7478,2801710,45,49.0
7479,2801740,52,49.0
7480,2801770,54,52.0
7481,2801800,20,15.0
7483,2801860,32,28.0
7490,2802160,53,50.0
7491,2802190,17,4.0
7494,2802280,40,32.0
7498,2802400,57,59.0
7499,2802430,43,47.0
7503,2802550,38,36.0
7509,2802730,48,29.0
7511,2802790,58,35.0
7515,2802910,19,10.0
7519,2803030,20,15.0
