,leaid,math_score,rla_score
283,625530,31.0,56.0
284,625690,38.0,56.0
285,625800,17.0,41.0
286,625830,39.0,61.0
287,625860,16.0,35.0
288,626310,68.0,79.0
289,626370,35.0,53.0
290,626640,28.0,53.0
291,626880,36.0,62.0
292,626910,36.0,67.0
293,627060,20.0,49.0
294,627240,39.0,60.0
295,627590,13.0,43.0
296,627690,17.0,46.0
297,627720,41.0,68.0
298,627850,73.0,87.0
299,628050,17.0,35.0
300,628250,30.0,52.0
301,628650,31.0,60.0
302,629130,20.0,49.0
303,629270,24.0,43.0
304,629490,19.0,51.0
305,629550,20.0,47.0
306,629610,86.0,88.0
307,629700,62.0,73.0
308,629850,20.0,44.0
309,629940,24.0,49.0
310,630030,16.0,32.0
311,630210,17.0,49.0
312,630250,40.0,70.0
313,630600,15.0,36.0
314,630660,51.0,72.0
315,630750,45.0,74.0
316,631320,15.0,44.0
317,631530,58.0,72.0
318,631710,29.0,52.0
319,632010,26.0,42.0
320,632070,45.0,73.0
321,632370,23.0,46.0
322,632550,17.0,40.0
323,633150,27.0,50.0
324,633630,48.0,72.0
325,633750,31.0,60.0
326,633840,27.0,48.0
327,633860,44.0,71.0
328,633980,19.0,47.0
329,634140,32.0,54.0
330,634170,17.0,44.0
331,634320,37.0,61.0
332,634380,65.0,80.0
